rank,in_serious_skim_300,in_deep_read_225,in_hostile_prior_100,openalex_id,title,year,authors,venue,url_or_doi,cited_by_count,source_queries,tags,relevance_score,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
144,yes,yes,no,https://openalex.org/W4399426392,Recent advances in Rapidly-exploring random tree: A review,2024,Tong Xu,Heliyon,https://doi.org/10.1016/j.heliyon.2024.e32451,68,lifelong SLAM dynamic environments robot navigation | long horizon robot navigation mapping memory,dynamic | uncertainty | planning,28.5388,"Plan robot motion when the map, state, or traversability model is uncertain.",change handling or dynamic-object filtering; probabilistic belief or risk model; planner or policy over the represented map.,the cost of being wrong is proportional to local reconstruction error | long-horizon navigation is limited mainly by localization drift | human activity can be approximated as uniform noise in map cells,route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,unobserved reachable changes invalidate an old shortcut | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling | uncertainty-aware navigation baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Path planning is an crucial research area in robotics. Compared to other path planning algorithms, the Rapidly-exploring Random Tree (RRT) algorithm possesses both search and random sampling properties, and thus has more potential to generate high-quality paths that can balance the global optimum and local optimum. This paper reviews the research on RRT-based improved algorithms from 2021 to 2023, including theoretical improvements and application implementations. At the theoretical level, branc"
145,yes,yes,no,https://openalex.org/W4293099009,A Heterogeneous Unmanned Ground Vehicle and Blimp Robot Team for Search and Rescue using Data-Driven Autonomy and Communication-Aware Navigation,2022,"Chen-Lung Lu, Jui-Te Huang, Ching-I Huang, Zi-Yan Liu, Chao-Chun Hsu, Yu-Yen Huang, et al.",Field Robotics,https://doi.org/10.55417/fr.2022020,20,long term autonomy mobile robot navigation changing environments,uncertainty | memory | planning | learning,28.3722,"Plan robot motion when the map, state, or traversability model is uncertain.",probabilistic belief or risk model; planner or policy over the represented map; learned representation or neural memory module.,the cost of being wrong is proportional to local reconstruction error | learned memory modules implicitly discover when to forget spatial facts | closed-world maps remain valid outside the robot's recent sensor frustum,route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,uncertainty-aware navigation baseline | learned memory/world-model framing,"Model when uncertainty should grow from causal exposure, not just observation age or posterior variance.","This paper describes the architecture and implementation of a heterogeneous team comprising unmanned ground vehicles and blimp robots capable of navigating unknown subterranean environments for search and rescue missions. The ground vehicles are equipped with a range of sensors for accurate perception, localization, and mapping. The blimps feature a long flight duration and collision tolerance when traversing uneven terrain. The design of the system was meant to satisfy the requirements of the D"
146,yes,yes,no,https://openalex.org/W3112118598,LAMP: Learning a Motion Policy to Repeatedly Navigate in an Uncertain Environment,2021,"Florence Tsang, Tristan Walker, Ryan A. MacDonald, Armin Sadeghi, Stephen L. Smith",IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2021.3109414,3,lifelong SLAM dynamic environments robot navigation,dynamic | uncertainty | memory | planning | occupancy | active | learning,28.3521,"Plan robot motion when the map, state, or traversability model is uncertain.",change handling or dynamic-object filtering; probabilistic belief or risk model; planner or policy over the represented map; information-gain driven sensing/exploration; learned representation or neural memory module; occupancy/traversability grid representation.,the cost of being wrong is proportional to local reconstruction error | map changes are observed at the place where they matter for the plan | closed-world maps remain valid outside the robot's recent sensor frustum,route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,unobserved reachable changes invalidate an old shortcut | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling | uncertainty-aware navigation baseline | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Mobile robots are often tasked with repeatedly navigating through an environment whose traversability changes over time. These changes may exhibit some hidden structure, which can be learned. Many studies consider reactive algorithms for online planning, however, these algorithms do not take advantage of the past executions of the navigation task for future tasks. In this article, we formalize the problem of minimizing the total expected cost to perform multiple start-to-goal navigation tasks on"
147,yes,yes,no,https://openalex.org/W4323922102,Lifelong-MonoDepth: Lifelong Learning for Multi-Domain Monocular Metric Depth Estimation,2023,"Junjie Hu, Chenyou Fan, Liguang Zhou, Qing Gao, Honghai Liu, Tin Lun Lam",arXiv (Cornell University),https://doi.org/10.48550/arxiv.2303.05050,1,lifelong SLAM dynamic environments robot navigation,dynamic | uncertainty | memory | planning | vision | learning,28.3510,"Plan robot motion when the map, state, or traversability model is uncertain.",change handling or dynamic-object filtering; probabilistic belief or risk model; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; learned representation or neural memory module.,the cost of being wrong is proportional to local reconstruction error | the same trust policy is appropriate for exploratory detours and mission-critical route edges | replanning after a failure is an acceptable substitute for modeling stale-map hazard,route-level cost of stale-map errors | hazard model connecting uncertainty to physical change | physical traversability behind appearance drift,unobserved reachable changes invalidate an old shortcut | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling | uncertainty-aware navigation baseline | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"With the rapid advancements in autonomous driving and robot navigation, there is a growing demand for lifelong learning models capable of estimating metric (absolute) depth. Lifelong learning approaches potentially offer significant cost savings in terms of model training, data storage, and collection. However, the quality of RGB images and depth maps is sensor-dependent, and depth maps in the real world exhibit domain-specific characteristics, leading to variations in depth ranges. These challe"
148,yes,yes,no,https://openalex.org/W4285376532,Learning Spatiotemporal Occupancy Grid Maps for Lifelong Navigation in Dynamic Scenes,2021,"Hugues Thomas, Matthieu Gallet de Saint Aurin, Jian Zhang, Timothy D. Barfoot",arXiv (Cornell University),https://doi.org/10.48550/arxiv.2108.10585,0,lifelong SLAM dynamic environments robot navigation,dynamic | semantic | memory | planning | occupancy | learning,28.2500,Use semantic or object-level structure to support embodied navigation and map reasoning.,change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; learned representation or neural memory module; occupancy/traversability grid representation.,environment changes are locally independent once the map cell or edge is represented | the same trust policy is appropriate for exploratory detours and mission-critical route edges | the cost of being wrong is proportional to local reconstruction error,route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | planner repeatedly commits to stale bottlenecks | semantic persistence masks moved obstacles or closed doors,generic dynamic-environment handling | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"We present a novel method for generating, predicting, and using Spatiotemporal Occupancy Grid Maps (SOGM), which embed future information of dynamic scenes. Our automated generation process creates groundtruth SOGMs from previous navigation data. We build on prior work to annotate lidar points based on their dynamic properties, which are then projected on time-stamped 2D grids: SOGMs. We design a 3D-2D feedforward architecture, trained to predict the future time steps of SOGMs, given 3D lidar fr"
149,yes,yes,no,https://openalex.org/W3205847502,Overview of Visual SLAM for Mobile Robots,2021,Wei Chen,International Journal of Frontiers in Engineering Technology,https://doi.org/10.25236/ijfet.2021.030701,6,dynamic SLAM mobile robots map change detection,slam | memory | planning | vision,28.1951,Recognize places and recover localization despite visual appearance changes.,SLAM/pose-graph or map-estimation machinery; planner or policy over the represented map; visual place-recognition or appearance-invariant localization.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | the same trust policy is appropriate for exploratory detours and mission-critical route edges,change process behind loop closures/map factors | route-level cost of stale-map errors | physical traversability behind appearance drift,locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks | visual relocalization succeeds while the path itself has changed,map estimation and localization novelty,Separate pose/map estimation confidence from whether a stale spatial fact remains action-worthy.,"Simultaneous Localization and Mapping (Simultaneous Localization and Mapping) technology refers to the technology of self-localization and construction of environmental maps based on visual sensors. It plays an important role in the field of autonomous mobile robots and autonomous vehicle navigation. This article introduces the classic framework and basic theory of visual SLAM, as well as the common methods and research progress of each part, enumerates the landmark achievements in the visual SL"
150,yes,yes,no,https://openalex.org/W3199573059,Robot Localization and Navigation Using Visible Light Positioning and SLAM Fusion,2021,"Weipeng Guan, Linyi Huang, Shangsheng Wen, Zihong Yan, Wanlin Liang, Chen Yang, et al.",Journal of Lightwave Technology,https://doi.org/10.1109/jlt.2021.3113358,63,dynamic SLAM mobile robots map change detection,slam | memory | planning,28.1562,Reuse prior spatial experience or map memory for later robot navigation.,SLAM/pose-graph or map-estimation machinery; planner or policy over the represented map.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | the same trust policy is appropriate for exploratory detours and mission-critical route edges,change process behind loop closures/map factors | route-level cost of stale-map errors,locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty,Separate pose/map estimation confidence from whether a stale spatial fact remains action-worthy.,"Visible light positioning (VLP) is a promising technology since it can provide high accuracy indoor localization based on the existing lighting infrastructure. However, existing approaches often require dense LED distributions and persistent line-of-sight (LOS) between transmitter and receiver. What's more, sensors are imperfect, and their measurements are prone to errors. Through multi sensors fusion, we can compensate the deficiencies of stand-alone sensors and provide more reliable pose estim"
151,yes,yes,no,https://openalex.org/W2026425544,Planning Reliable Paths With Pose SLAM,2013,"Rafael Valencia, Martí Morta, Juan Andrade‐Cetto, Josep M. Porta",IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2013.2257577,76,dynamic SLAM mobile robots map change detection,slam | uncertainty | memory | planning | occupancy,28.1365,"Plan robot motion when the map, state, or traversability model is uncertain.",SLAM/pose-graph or map-estimation machinery; probabilistic belief or risk model; planner or policy over the represented map; occupancy/traversability grid representation.,the cost of being wrong is proportional to local reconstruction error | map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum,change process behind loop closures/map factors | route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,locally consistent maps hide task-critical topology changes | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | uncertainty-aware navigation baseline,Separate pose/map estimation confidence from whether a stale spatial fact remains action-worthy.,"The maps that are built by standard feature-based simultaneous localization and mapping (SLAM) methods cannot be directly used to compute paths for navigation, unless enriched with obstacle or traversability information, with the consequent increase in complexity. Here, we propose a method that directly uses the Pose SLAM graph of constraints to determine the path between two robot configurations with lowest accumulated pose uncertainty, i.e., the most reliable path to the goal. The method shows"
152,yes,yes,no,https://openalex.org/W3133037842,Path Planning for Smart Car Based on Dijkstra Algorithm and Dynamic Window Approach,2021,"Lisang Liu, Jiafeng Lin, Jin-xin Yao, Dongwei He, Jishi Zheng, Jing Huang, et al.",Wireless Communications and Mobile Computing,https://doi.org/10.1155/2021/8881684,143,dynamic SLAM mobile robots map change detection,slam | dynamic | memory | planning,28.1084,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; planner or policy over the represented map.,the same trust policy is appropriate for exploratory detours and mission-critical route edges | the cost of being wrong is proportional to local reconstruction error | replanning after a failure is an acceptable substitute for modeling stale-map hazard,change process behind loop closures/map factors | route-level cost of stale-map errors,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Path planning and obstacle avoidance are essential for autonomous driving cars. On the base of a self‐constructed smart obstacle avoidance car, which used a LeTMC‐520 depth camera and Jetson controller, this paper established a map of an unknown indoor environment based on depth information via SLAM technology. The Dijkstra algorithm is used as the global path planning algorithm and the dynamic window approach (DWA) as its local path planning algorithm, which are applied to the smart car, enabli"
153,yes,yes,no,https://openalex.org/W4312118031,LT-mapper: A Modular Framework for LiDAR-based Lifelong Mapping,2021,"Giseop Kim, Ayoung Kim",arXiv (Cornell University),https://doi.org/10.48550/arxiv.2107.07712,1,lifelong SLAM dynamic environments robot navigation,slam | dynamic | semantic | memory,28.0510,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure.,change probability is a property of places rather than of unobserved interventions that could have reached them | map memory can be trusted or discounted as a monotone function of elapsed time | the robot's own unobserved absence does not create information about likely map changes,change process behind loop closures/map factors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | semantic persistence masks moved obstacles or closed doors,map estimation and localization novelty | generic dynamic-environment handling,Separate pose/map estimation confidence from whether a stale spatial fact remains action-worthy.,"Long-term 3D map management is a fundamental capability required by a robot to reliably navigate in the non-stationary real-world. This paper develops open-source, modular, and readily available LiDAR-based lifelong mapping for urban sites. This is achieved by dividing the problem into successive subproblems: multi-session SLAM (MSS), high/low dynamic change detection, and positive/negative change management. The proposed method leverages MSS and handles potential trajectory error; thus, good in"
154,yes,yes,no,https://openalex.org/W4377104434,High-Efficiency Navigation of Nonholonomic Mobile Robots Based on Improved Hybrid A* Algorithm,2023,"Zhaozhan Chi, Zhenhan Yu, Qianyu Wei, Qiancheng He, Guangxian Li, Songlin Ding",Applied Sciences,https://doi.org/10.3390/app13106141,14,long horizon robot navigation mapping memory,dynamic | memory | planning,28.0261,Reuse prior spatial experience or map memory for later robot navigation.,change handling or dynamic-object filtering; planner or policy over the represented map.,the same trust policy is appropriate for exploratory detours and mission-critical route edges | the cost of being wrong is proportional to local reconstruction error | replanning after a failure is an acceptable substitute for modeling stale-map hazard,route-level cost of stale-map errors,unobserved reachable changes invalidate an old shortcut | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"With the development of automation technologies, autonomous robots are increasingly used in many important applications. However, precise self-navigation and accurate path planning remain a significant challenge, particularly for the robots operating in complex circumstances such as city centers. In this paper, a nonholonomically constrained robot with high-precision navigation and path planning capability was designed based on the Robot Operating System (ROS), and an improved hybrid A* algorith"
155,yes,yes,no,https://openalex.org/W2803185511,Monocular Vision SLAM-Based UAV Autonomous Landing in Emergencies and Unknown Environments,2018,"Tao Yang, Peiqi Li, Huiming Zhang, Jing Li, Zhi Li",Electronics,https://doi.org/10.3390/electronics7050073,107,dynamic SLAM mobile robots map change detection,slam | memory | planning | vision | occupancy,27.9834,Recognize places and recover localization despite visual appearance changes.,SLAM/pose-graph or map-estimation machinery; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; occupancy/traversability grid representation.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | the same trust policy is appropriate for exploratory detours and mission-critical route edges,change process behind loop closures/map factors | route-level cost of stale-map errors | physical traversability behind appearance drift,locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks | visual relocalization succeeds while the path itself has changed,map estimation and localization novelty,Separate pose/map estimation confidence from whether a stale spatial fact remains action-worthy.,"With the popularization and wide application of drones in military and civilian fields, the safety of drones must be considered. At present, the failure and drop rates of drones are still much higher than those of manned aircraft. Therefore, it is imperative to improve the research on the safe landing and recovery of drones. However, most drone navigation methods rely on global positioning system (GPS) signals. When GPS signals are missing, these drones cannot land or recover properly. In fact,"
156,yes,yes,no,https://openalex.org/W4409098114,Enhancing Machine Learning Techniques in VSLAM for Robust Autonomous Unmanned Aerial Vehicle Navigation,2025,"Hussam M. Rostum, József Vásárhelyi",Electronics,https://doi.org/10.3390/electronics14071440,2,lifelong SLAM dynamic environments robot navigation,slam | dynamic | memory | planning | vision | learning,27.9271,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | the same trust policy is appropriate for exploratory detours and mission-critical route edges,change process behind loop closures/map factors | route-level cost of stale-map errors | physical traversability behind appearance drift,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"This study introduces a visual SLAM real-time system designed for small indoor environments. The system demonstrates resilience against significant motion clutter and supports wide-baseline loop closing, re-localization, and automatic initialization. Leveraging state-of-the-art algorithms, the approach presented in this article utilizes adapted Oriented FAST and Rotated BRIEF features for tracking, mapping, re-localization, and loop closing. In addition, the research uses an adaptive threshold t"
157,yes,yes,no,https://openalex.org/W4327739745,Autonomous Navigation System of Indoor Mobile Robots Using 2D Lidar,2023,"Jian Sun, Jie Zhao, Xiaoyang Hu, Hongwei Gao, Jiahui Yu",Mathematics,https://doi.org/10.3390/math11061455,28,dynamic SLAM mobile robots map change detection,slam | uncertainty | memory | planning,27.9124,"Plan robot motion when the map, state, or traversability model is uncertain.",SLAM/pose-graph or map-estimation machinery; probabilistic belief or risk model; planner or policy over the represented map.,the cost of being wrong is proportional to local reconstruction error | the same trust policy is appropriate for exploratory detours and mission-critical route edges | replanning after a failure is an acceptable substitute for modeling stale-map hazard,change process behind loop closures/map factors | route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,locally consistent maps hide task-critical topology changes | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | uncertainty-aware navigation baseline,Separate pose/map estimation confidence from whether a stale spatial fact remains action-worthy.,"Significant developments have been made in the navigation of autonomous mobile robots within indoor environments; however, there still remain challenges in the face of poor map construction accuracy and suboptimal path planning, which limit the practical applications of such robots. To solve these challenges, an enhanced Rao Blackwell Particle Filter (RBPF-SLAM) algorithm, called Lidar-based RBPF-SLAM (LRBPF-SLAM), is proposed. In LRBPF, the adjacent bit poses difference data from the 2D Lidar s"
158,yes,yes,no,https://openalex.org/W4391305703,BotanicGarden: A High-Quality Dataset for Robot Navigation in Unstructured Natural Environments,2024,"Liu Yuan-zhi, Yujia Fu, Minghui Qin, Yufeng Xu, Baoxin Xu, Fengdong Chen, et al.",IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2024.3359548,44,lifelong SLAM dynamic environments robot navigation,slam | semantic | memory | planning,27.9032,Use semantic or object-level structure to support embodied navigation and map reasoning.,SLAM/pose-graph or map-estimation machinery; semantic/object-level map structure; planner or policy over the represented map.,the same trust policy is appropriate for exploratory detours and mission-critical route edges | the cost of being wrong is proportional to local reconstruction error | replanning after a failure is an acceptable substitute for modeling stale-map hazard,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks | semantic persistence masks moved obstacles or closed doors,map estimation and localization novelty,Separate pose/map estimation confidence from whether a stale spatial fact remains action-worthy.,"The rapid developments of mobile robotics and autonomous navigation over the years are largely empowered by public datasets for testing and upgrading, such as sensor odometry and SLAM tasks. Impressive demos and benchmark scores have arisen, which may suggest the maturity of existing navigation techniques. However, these results are primarily based on moderate structured scenario testing. When transitioning to challenging unstructured environments, especially in GNSS-denied, texture-monotonous,"
159,yes,yes,no,https://openalex.org/W4283025710,Multi-Session Visual SLAM for Illumination-Invariant Re-Localization in Indoor Environments,2022,"Mathieu Labbé, François Michaud",Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2022.801886,25,lifelong SLAM dynamic environments robot navigation,slam | dynamic | uncertainty | memory | planning | vision,27.8650,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; probabilistic belief or risk model; planner or policy over the represented map; visual place-recognition or appearance-invariant localization.,the cost of being wrong is proportional to local reconstruction error | the same trust policy is appropriate for exploratory detours and mission-critical route edges | replanning after a failure is an acceptable substitute for modeling stale-map hazard,change process behind loop closures/map factors | route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | high entropy in harmless regions distracts from low-entropy dangerous stale edges,map estimation and localization novelty | generic dynamic-environment handling | uncertainty-aware navigation baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"For robots navigating using only a camera, illumination changes in indoor environments can cause re-localization failures during autonomous navigation. In this paper, we present a multi-session visual SLAM approach to create a map made of multiple variations of the same locations in different illumination conditions. The multi-session map can then be used at any hour of the day for improved re-localization capability. The approach presented is independent of the visual features used, and this is"
160,yes,yes,no,https://openalex.org/W7155245850,A Survey of Spatial Memory Representations for Efficient Robot Navigation,2026,"Ma. Madecheen S. Pangaliman, Steven S. Sison, Erwin P. Quilloy, Rowel Atienza",ArXiv.org,https://arxiv.org/abs/2604.16482,0,lifelong SLAM dynamic environments robot navigation,slam | semantic | memory | planning | occupancy | learning,27.8500,Use semantic or object-level structure to support embodied navigation and map reasoning.,SLAM/pose-graph or map-estimation machinery; semantic/object-level map structure; planner or policy over the represented map; learned representation or neural memory module; occupancy/traversability grid representation.,topological connectivity changes are rare compared with metric pose drift | the same trust policy is appropriate for exploratory detours and mission-critical route edges | the cost of being wrong is proportional to local reconstruction error,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks | semantic persistence masks moved obstacles or closed doors,map estimation and localization novelty | learned memory/world-model framing,Separate pose/map estimation confidence from whether a stale spatial fact remains action-worthy.,"As vision-based robots navigate larger environments, their spatial memory grows without bound, eventually exhausting computational resources, particularly on embedded platforms (8-16GB shared memory, $<$30W) where adding hardware is not an option. This survey examines the spatial memory efficiency problem across 88 references spanning 52 systems (1989-2025), from occupancy grids to neural implicit representations. We introduce the $α= M_{\text{peak}} / M_{\text{map}}$, the ratio of peak runtime"
161,yes,yes,no,https://openalex.org/W4287509240,Inverse reinforcement learning for autonomous navigation via differentiable semantic mapping and planning,2023,"Tianyu Wang, Vikas Dhiman, Nikolay Atanasov",Autonomous Robots,https://doi.org/10.1007/s10514-023-10118-4,7,long horizon robot navigation mapping memory,semantic | memory | planning | occupancy | learning,27.7531,Use semantic or object-level structure to support embodied navigation and map reasoning.,semantic/object-level map structure; planner or policy over the represented map; learned representation or neural memory module; occupancy/traversability grid representation.,learned memory modules implicitly discover when to forget spatial facts | the same trust policy is appropriate for exploratory detours and mission-critical route edges | the cost of being wrong is proportional to local reconstruction error,route-level cost of stale-map errors | object persistence and affordance dynamics,planner repeatedly commits to stale bottlenecks | semantic persistence masks moved obstacles or closed doors,learned memory/world-model framing,Use semantic activity affordances to predict which old map facts deserve distrust.,"Abstract This paper focuses on inverse reinforcement learning for autonomous navigation using distance and semantic category observations. The objective is to infer a cost function that explains demonstrated behavior while relying only on the expert’s observations and state-control trajectory. We develop a map encoder, that infers semantic category probabilities from the observation sequence, and a cost encoder, defined as a deep neural network over the semantic features. Since the expert cost i"
162,yes,yes,no,https://openalex.org/W4361296049,Real-Time SLAM Mobile Robot and Navigation Based on Cloud-Based Implementation,2023,"Jaafar Ahmed Abdulsaheb, Dheyaa Jasim Kadhim",Journal of Robotics,https://doi.org/10.1155/2023/9967236,18,dynamic SLAM mobile robots map change detection,slam | dynamic | memory | planning | vision,27.7288,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; planner or policy over the represented map; visual place-recognition or appearance-invariant localization.,map update and route choice can be separated without losing optimality | map changes are observed at the place where they matter for the plan | closed-world maps remain valid outside the robot's recent sensor frustum,change process behind loop closures/map factors | route-level cost of stale-map errors | physical traversability behind appearance drift,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"This study investigates the feasibility of a mobile robot navigating and discovering its location in unknown environments, followed by the creation of maps of these navigated environments for future use. First, a real mobile robot named TurtleBot3 Burger was used to achieve the simultaneous localization and mapping (SLAM) technique for a complex environment with 12 obstacles of different sizes based on the Rviz library, which is built on the robot operating system (ROS) booted in Linux. It is po"
163,yes,yes,no,https://openalex.org/W4386951710,UVS: underwater visual SLAM—a robust monocular visual SLAM system for lifelong underwater operations,2023,"Marco Leonardi, Annette Stahl, Edmund Brekke, Martin Ludvigsen",Autonomous Robots,https://doi.org/10.1007/s10514-023-10138-0,14,lifelong SLAM dynamic environments robot navigation,slam | dynamic | memory | planning | vision | active,27.7261,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; information-gain driven sensing/exploration.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | the same trust policy is appropriate for exploratory detours and mission-critical route edges,change process behind loop closures/map factors | route-level cost of stale-map errors | physical traversability behind appearance drift,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Abstract In this paper, a visual simultaneous localization and mapping (VSLAM/visual SLAM) system called underwater visual SLAM (UVS) system is presented, specifically tailored for camera-only navigation in natural underwater environments. The UVS system is particularly optimized towards precision and robustness, as well as lifelong operations. We build upon Oriented features from accelerated segment test and Rotated Binary robust independent elementary features simultaneous localization and map"
164,yes,yes,no,https://openalex.org/W3160695845,Recent advances in evolutionary and bio-inspired adaptive robotics: Exploiting embodied dynamics,2021,"Phil Husbands, Yoonsik Shim, Michael Garvie, Alex Dewar, Norbert Domcsek, Paul Graham, et al.",Applied Intelligence,https://doi.org/10.1007/s10489-021-02275-9,36,long horizon robot navigation mapping memory,dynamic | semantic | planning | vision | learning,27.7182,Use semantic or object-level structure to support embodied navigation and map reasoning.,change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; learned representation or neural memory module.,change probability is a property of places rather than of unobserved interventions that could have reached them | the same trust policy is appropriate for exploratory detours and mission-critical route edges | the cost of being wrong is proportional to local reconstruction error,route-level cost of stale-map errors | object persistence and affordance dynamics | physical traversability behind appearance drift,unobserved reachable changes invalidate an old shortcut | planner repeatedly commits to stale bottlenecks | semantic persistence masks moved obstacles or closed doors,generic dynamic-environment handling | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Abstract This paper explores current developments in evolutionary and bio-inspired approaches to autonomous robotics, concentrating on research from our group at the University of Sussex. These developments are discussed in the context of advances in the wider fields of adaptive and evolutionary approaches to AI and robotics, focusing on the exploitation of embodied dynamics to create behaviour. Four case studies highlight various aspects of such exploitation. The first exploits the dynamical pr"
